"filename", "language", "Markdown", "Python", "PowerShell", "pip requirements", "Shell Script", "Rust", "JSON Lines", "YAML", "CUDA C++", "comment", "blank", "total"
"d:\taraference\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 117, 0, 13, 22, 152
"d:\taraference\AGENTS.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"d:\taraference\GOAL.md", "Markdown", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 105
"d:\taraference\LOCAL_3050TI_MILESTONE.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 47
"d:\taraference\OLLAMA_LOCAL_COMPARISON.md", "Markdown", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 74
"d:\taraference\README.md", "Markdown", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 312
"d:\taraference\VLLM_LLAMA_CPP_RESEARCH.md", "Markdown", 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 432
"d:\taraference\WORKFLOW.md", "Markdown", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 81
"d:\taraference\benchmarks\ollama_chat_bench.py", "Python", 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 12, 90
"d:\taraference\crates\cli\src\download.rs", "Rust", 0, 0, 0, 0, 0, 285, 0, 0, 0, 19, 20, 324
"d:\taraference\crates\cli\src\main.rs", "Rust", 0, 0, 0, 0, 0, 249, 0, 0, 0, 38, 27, 314
"d:\taraference\crates\cli\src\profile.rs", "Rust", 0, 0, 0, 0, 0, 970, 0, 0, 0, 35, 45, 1050
"d:\taraference\crates\cli\src\self_update.rs", "Rust", 0, 0, 0, 0, 0, 186, 0, 0, 0, 9, 24, 219
"d:\taraference\crates\cli\src\serve\mod.rs", "Rust", 0, 0, 0, 0, 0, 384, 0, 0, 0, 7, 36, 427
"d:\taraference\crates\cli\src\serve\openai.rs", "Rust", 0, 0, 0, 0, 0, 91, 0, 0, 0, 5, 14, 110
"d:\taraference\crates\core\src\chat.rs", "Rust", 0, 0, 0, 0, 0, 98, 0, 0, 0, 15, 17, 130
"d:\taraference\crates\core\src\config.rs", "Rust", 0, 0, 0, 0, 0, 207, 0, 0, 0, 13, 18, 238
"d:\taraference\crates\core\src\cuda\decode.rs", "Rust", 0, 0, 0, 0, 0, 202, 0, 0, 0, 42, 29, 273
"d:\taraference\crates\core\src\cuda\forward.rs", "Rust", 0, 0, 0, 0, 0, 340, 0, 0, 0, 17, 24, 381
"d:\taraference\crates\core\src\cuda\kernels\attn\fast_v2.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 160, 9, 24, 193
"d:\taraference\crates\core\src\cuda\kernels\attn\flash.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 219, 16, 27, 262
